antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
돼지불고기,감자탕,0.0122494590088332,0.0595728830394834,0.000351200823016,0.0286707211120764,0.4812713377170982,-0.000378534765814,0.9681856991248252,-0.5218048655634819
감자탕,돼지불고기,0.0595728830394834,0.0122494590088332,0.000351200823016,0.0058953135234919,0.4812713377170983,-0.000378534765814,0.9936081726886704,-0.5340399734236314
돼지불고기,된장찌개,0.0122494590088332,0.0513427223385008,0.0002057540175245,0.016796988126267,0.3271542170188218,-0.0004231665551628,0.9648640882960698,-0.6755530362182859
된장찌개,돼지불고기,0.0513427223385008,0.0122494590088332,0.0002057540175245,0.0040074621709389,0.3271542170188218,-0.0004231665551628,0.9917248407745513,-0.6843406446639199
막국수,돼지불고기,0.0162084501046507,0.0122494590088332,6.740217815459931e-05,0.0041584591814401,0.3394810479745616,-0.000131142566999,0.991875213579921,-0.6641735414513217
돼지불고기,막국수,0.0122494590088332,0.0162084501046507,6.740217815459931e-05,0.0055024616275702,0.3394810479745616,-0.000131142566999,0.989234776292557,-0.6632771630338963
돼지불고기,볶음밥,0.0122494590088332,0.1071942956472382,0.0007591613750044,0.0619750941210541,0.5781566430083713,-0.0005539107555071,0.9517931760204034,-0.4248522053866628
볶음밥,돼지불고기,0.1071942956472382,0.0122494590088332,0.0007591613750044,0.0070821060992156,0.5781566430083713,-0.0005539107555071,0.9947957903253036,-0.4497144525137678
돼지불고기,비빔밥,0.0122494590088332,0.1042605271559828,0.0006740217815459,0.0550246162757022,0.5277607717576631,-0.0006031132720905,0.947897149779464,-0.4753120177411741
비빔밥,돼지불고기,0.1042605271559828,0.0122494590088332,0.0006740217815459,0.0064647839401156,0.527760771757663,-0.0006031132720905,0.9941776849222738,-0.499737068685501
돼지불고기,잔치국수,0.0122494590088332,0.0374649686047749,0.0003086310262868,0.0251954821894005,0.6725077619894055,-0.0001502945709045,0.9874133878216612,-0.3302124809652366
잔치국수,돼지불고기,0.0374649686047749,0.0122494590088332,0.0003086310262868,0.0082378562636114,0.6725077619894055,-0.0001502945709045,0.9959550757502112,-0.3359568323976776
돼지불고기,떡볶이,0.0122494590088332,0.1138032565894497,0.0008655858668274,0.0706631914277439,0.6209241593381156,-0.0005284424598367,0.9535797304445716,-0.3819811838306712
떡볶이,돼지불고기,0.1138032565894497,0.0122494590088332,0.0008655858668274,0.0076059850374064,0.6209241593381157,-0.0005284424598367,0.9953209371465206,-0.4078993075118375
돼지불고기,김치볶음밥,0.0122494590088332,0.0540707368122317,0.0003902231366845,0.031856356791196,0.5891607673448536,-0.0002721141374743,0.9770546652071084,-0.4138257721470884
김치볶음밥,돼지불고기,0.0540707368122317,0.0122494590088332,0.0003902231366845,0.0072169006692035,0.5891607673448536,-0.0002721141374743,0.9949308581672855,-0.4243577237087109
돼지불고기,꽃게탕,0.0122494590088332,0.0151087303558125,3.902231366845224e-05,0.0031856356791196,0.210847344819682,-0.0001460514595005,0.9880388013019696,-0.7911961295699093
꽃게탕,돼지불고기,0.0151087303558125,0.0122494590088332,3.902231366845224e-05,0.00258276590749,0.210847344819682,-0.0001460514595005,0.990308275442886,-0.7916746421666584
돼지불고기,떡국,0.0122494590088332,0.0398417822554897,0.0001844691191599,0.015059368664929,0.3779792924011084,-0.0003035711594175,0.9748386727056142,-0.6249140859686154
떡국,돼지불고기,0.0398417822554897,0.0122494590088332,0.0001844691191599,0.0046300418484551,0.3779792924011084,-0.0003035711594175,0.992345140519885,-0.6315311682854962
돼지불고기,참치김치찌개,0.0122494590088332,0.0398098549079428,0.000198659051403,0.0162177816391543,0.4073810787971147,-0.0002889901344394,0.9760190082434128,-0.5955910383072522
참치김치찌개,돼지불고기,0.0398098549079428,0.0122494590088332,0.000198659051403,0.0049901978256995,0.4073810787971147,-0.0002889901344394,0.9927043319902268,-0.6023883234953085
잡채,돼지불고기,0.0576075774238178,0.0122494590088332,0.0003121785093476,0.0054190528973458,0.4423912022104936,-0.0003934831489036,0.9931323778809706,-0.5721911378208515
돼지불고기,잡채,0.0122494590088332,0.0576075774238178,0.0003121785093476,0.0254850854329568,0.4423912022104936,-0.0003934831489036,0.9670374547267628,-0.560646973395071
돼지불고기,닭곰탕,0.0122494590088332,0.029437014438256,0.0001915640852814,0.0156385751520417,0.5312554771763117,-0.0001690234164223,0.985982344555664,-0.471814901794149
닭곰탕,돼지불고기,0.029437014438256,0.0122494590088332,0.0001915640852814,0.0065075921908893,0.5312554771763118,-0.0001690234164223,0.994220522700716,-0.476191479055662
돼지불고기,짬뽕,0.0122494590088332,0.0237291141934797,0.0001348043563091,0.0110049232551404,0.4637730327988553,-0.0001558644553197,0.9871342221639574,-0.5392906605936636
짬뽕,돼지불고기,0.0237291141934797,0.0122494590088332,0.0001348043563091,0.0056809687546718,0.4637730327988553,-0.0001558644553197,0.9933939811592112,-0.5421937680074824
돼지불고기,닭개장,0.0122494590088332,0.0271666252793642,0.0002199439497676,0.0179554011004923,0.6609360167429853,-0.0001128325130002,0.990620360634136,-0.3418314881229883
닭개장,돼지불고기,0.0271666252793642,0.0122494590088332,0.0002199439497676,0.0080961086445547,0.6609360167429853,-0.0001128325130002,0.995812749198309,-0.3452633247379746
돼지불고기,탕수육,0.0122494590088332,0.0759303274326865,0.0005569548405406,0.0454677092383434,0.5988082861706523,-0.0003731505928733,0.9680863408297736,-0.4041562311292587
탕수육,돼지불고기,0.0759303274326865,0.0122494590088332,0.0005569548405406,0.007335077555597,0.5988082861706523,-0.0003731505928733,0.9950493048136176,-0.4203018773825054
닭강정,돼지불고기,0.018102806059101,0.0122494590088332,0.0001560892546738,0.0086223789927493,0.7038987588375667,-6.566032609200747e-05,0.99634137392329,-0.299923023095888
돼지불고기,닭강정,0.0122494590088332,0.018102806059101,0.0001560892546738,0.0127425427164784,0.7038987588375668,-6.566032609200747e-05,0.994570551680236,-0.2986765435168801
돼지불고기,닭볶음탕,0.0122494590088332,0.0243321863138103,0.0001135194579445,0.0092673037938024,0.3808660542987293,-0.0001845366609017,0.984794200718624,-0.6220359943701504
닭볶음탕,돼지불고기,0.0243321863138103,0.0122494590088332,0.0001135194579445,0.0046654031199883,0.3808660542987292,-0.0001845366609017,0.992380395584944,-0.624925318476027
함박스테이크,돼지불고기,0.0426762212210436,0.0122494590088332,0.0002625137464968,0.0061512884455527,0.5021681725794598,-0.0002602468760022,0.993864085657723,-0.5087343297079389
돼지불고기,함박스테이크,0.0122494590088332,0.0426762212210436,0.0002625137464968,0.0214306400231682,0.5021681725794598,-0.0002602468760022,0.9782891412026448,-0.5009130883129056
생선까스,돼지불고기,0.021625456738444,0.0122494590088332,0.0001631842207953,0.0075459317585301,0.6160216343504412,-0.0001017159250695,0.9952607103937442,-0.3891626934511084
돼지불고기,생선까스,0.0122494590088332,0.021625456738444,0.0001631842207953,0.013321749203591,0.6160216343504412,-0.0001017159250695,0.9915841790085568,-0.3868978705784645
육개장,돼지불고기,0.0544822448472808,0.0122494590088332,0.0002802511618007,0.0051438989451751,0.4199286630916374,-0.0003871268631652,0.992857700670354,-0.5936533273101884
돼지불고기,육개장,0.0122494590088332,0.0544822448472808,0.0002802511618007,0.0228786562409499,0.4199286630916374,-0.0003871268631652,0.9676564340670832,-0.5830705931172611
돼지불고기,고등어구이,0.0122494590088332,0.0144205186420234,4.966476285075739e-05,0.0040544454097885,0.2811580852559177,-0.0001269787891408,0.9895917269930482,-0.7213261869747457
고등어구이,돼지불고기,0.0144205186420234,0.0122494590088332,4.966476285075739e-05,0.0034440344403444,0.2811580852559177,-0.0001269787891408,0.9911641444406548,-0.7217682848535378
돼지불고기,오리불고기,0.0122494590088332,0.0393522295931036,0.0001277093901876,0.0104257167680278,0.2649333182853472,-0.0003543341331192,0.9707687302355906,-0.7374599529945414
오리불고기,돼지불고기,0.0393522295931036,0.0122494590088332,0.0001277093901876,0.0032452898224105,0.2649333182853472,-0.0003543341331192,0.9909665145351372,-0.742811019011032
돼지불고기,부대찌개,0.0122494590088332,0.0720174536166589,0.0004611727978998,0.0376484216623226,0.5227680204123994,-0.0004210020480979,0.964286407662256,-0.4803076901297843
부대찌개,돼지불고기,0.0720174536166589,0.0122494590088332,0.0004611727978998,0.0064036254371705,0.5227680204123994,-0.0004210020480979,0.9941164906381278,-0.4959019035558184
돼지불고기,볶음우동,0.0122494590088332,0.0292596402852176,0.0002234914328284,0.0182450043440486,0.6235553194160857,-0.0001349233314585,0.988780667284703,-0.3793421778199298
볶음우동,돼지불고기,0.0292596402852176,0.0122494590088332,0.0002234914328284,0.0076382153249272,0.6235553194160857,-0.0001349233314585,0.9953532635424732,-0.3834405551788367
돼지불고기,치킨까스,0.0122494590088332,0.0195253467664691,0.000152541771613,0.012452939472922,0.6377832681726034,-8.663316323607832e-05,0.9928384098578832,-0.3650688320780059
치킨까스,돼지불고기,0.0195253467664691,0.0122494590088332,0.000152541771613,0.0078125,0.6377832681726034,-8.663316323607832e-05,0.995528104306058,-0.3667842741935484
돼지불고기,돼지갈비찜,0.0122494590088332,0.053882720210011,0.0001773741530384,0.0144801621778163,0.2687348025745383,-0.0004826600194585,0.9600185034131156,-0.7336803675074534
돼지갈비찜,돼지불고기,0.053882720210011,0.0122494590088332,0.0001773741530384,0.0032918559483836,0.2687348025745383,-0.0004826600194585,0.9910128124126316,-0.7420096170173727
돼지불고기,비빔국수,0.0122494590088332,0.0141083401326758,9.932952570151476e-05,0.0081088908195771,0.574758670638826,-7.34900084363751e-05,0.9939515040939768,-0.4282564616027828
비빔국수,돼지불고기,0.0141083401326758,0.0122494590088332,9.932952570151476e-05,0.0070404827759617,0.5747586706388259,-7.34900084363751e-05,0.9947540900283288,-0.4287177548274844
돼지불고기,등심돈까스,0.0122494590088332,0.0193621625456738,0.0001312568732484,0.0107153200115841,0.5534154558566233,-0.0001059191431771,0.9912595002136384,-0.4496326216444475
등심돈까스,돼지불고기,0.0193621625456738,0.0122494590088332,0.0001312568732484,0.0067790399413704,0.5534154558566233,-0.0001059191431771,0.994492243632132,-0.4514216718170608
돼지불고기,순두부찌개,0.0122494590088332,0.0515981411188761,0.0002767036787399,0.0225890529973935,0.4377881161523048,-0.0003553456358277,0.9703204796197098,-0.5652430946681916
순두부찌개,돼지불고기,0.0515981411188761,0.0122494590088332,0.0002767036787399,0.0053626675833619,0.4377881161523047,-0.0003553456358277,0.993076077881836,-0.5752052251632864
돼지불고기,쫄면,0.0122494590088332,0.0161942601724076,8.513959345844124e-05,0.0069504778453518,0.4291939101481354,-0.0001132313327018,0.9906915192839534,-0.5738229024826605
쫄면,돼지불고기,0.0161942601724076,0.0122494590088332,8.513959345844124e-05,0.0052573932092004,0.4291939101481353,-0.0001132313327018,0.992970979877709,-0.5748012330879232
돼지불고기,카레라이스,0.0122494590088332,0.0495831707403597,0.0004256979672922,0.0347523892267593,0.7008908205717385,-0.0001816690502198,0.984635256955757,-0.301699429953728
카레라이스,돼지불고기,0.0495831707403597,0.0122494590088332,0.0004256979672922,0.008585533376261,0.7008908205717386,-0.0001816690502198,0.9963043451997936,-0.3098781867884148
돼지불고기,오므라이스,0.0122494590088332,0.0282627975451417,0.0002093015005853,0.0170865913698233,0.604561220188214,-0.0001369024794188,0.9886295109241678,-0.3983890691401744
오므라이스,돼지불고기,0.0282627975451417,0.0122494590088332,0.0002093015005853,0.0074055478850257,0.604561220188214,-0.0001369024794188,0.9951199494280002,-0.4023129365616078
돼지불고기,설렁탕,0.0122494590088332,0.0164354890205399,8.868707651920962e-05,0.0072400810889081,0.4405150999681266,-0.000112638772528,0.990737531042029,-0.5625202998801365
설렁탕,돼지불고기,0.0164354890205399,0.0122494590088332,8.868707651920962e-05,0.0053960716598316,0.4405150999681267,-0.000112638772528,0.9931094306449816,-0.5635651574708456
