antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'돼지불고기'}),frozenset({'감자탕'}),0.012249459008833233,0.059572883039483486,0.0003512008230160701,0.028670721112076452,0.48127133771709824,-0.00037853476581409945,0.9681856991248251,-0.5218048655634819
frozenset({'감자탕'}),frozenset({'돼지불고기'}),0.059572883039483486,0.012249459008833233,0.0003512008230160701,0.005895313523491931,0.4812713377170983,-0.00037853476581409945,0.9936081726886704,-0.5340399734236314
frozenset({'돼지불고기'}),frozenset({'된장찌개'}),0.012249459008833233,0.05134272233850083,0.00020575401752456632,0.016796988126267013,0.32715421701882186,-0.00042316655516280597,0.9648640882960698,-0.6755530362182859
frozenset({'된장찌개'}),frozenset({'돼지불고기'}),0.05134272233850083,0.012249459008833233,0.00020575401752456632,0.00400746217093899,0.32715421701882186,-0.00042316655516280597,0.9917248407745513,-0.6843406446639199
frozenset({'막국수'}),frozenset({'돼지불고기'}),0.01620845010465075,0.012249459008833233,6.740217815459931e-05,0.0041584591814401405,0.3394810479745616,-0.00013114256699903876,0.991875213579921,-0.6641735414513217
frozenset({'돼지불고기'}),frozenset({'막국수'}),0.012249459008833233,0.01620845010465075,6.740217815459931e-05,0.005502461627570229,0.3394810479745616,-0.00013114256699903876,0.989234776292557,-0.6632771630338963
frozenset({'돼지불고기'}),frozenset({'볶음밥'}),0.012249459008833233,0.10719429564723829,0.0007591613750044344,0.061975094121054154,0.5781566430083713,-0.0005539107555071617,0.9517931760204034,-0.4248522053866628
frozenset({'볶음밥'}),frozenset({'돼지불고기'}),0.10719429564723829,0.012249459008833233,0.0007591613750044344,0.007082106099215673,0.5781566430083713,-0.0005539107555071617,0.9947957903253036,-0.44971445251376785
frozenset({'돼지불고기'}),frozenset({'비빔밥'}),0.012249459008833233,0.10426052715598283,0.0006740217815459931,0.055024616275702286,0.5277607717576631,-0.0006031132720905628,0.947897149779464,-0.4753120177411741
frozenset({'비빔밥'}),frozenset({'돼지불고기'}),0.10426052715598283,0.012249459008833233,0.0006740217815459931,0.006464783940115685,0.527760771757663,-0.0006031132720905628,0.9941776849222738,-0.499737068685501
frozenset({'돼지불고기'}),frozenset({'잔치국수'}),0.012249459008833233,0.03746496860477491,0.00030863102628684945,0.025195482189400518,0.6725077619894055,-0.00015029457090456487,0.9874133878216613,-0.33021248096523664
frozenset({'잔치국수'}),frozenset({'돼지불고기'}),0.03746496860477491,0.012249459008833233,0.00030863102628684945,0.0082378562636114,0.6725077619894055,-0.00015029457090456487,0.9959550757502112,-0.3359568323976776
frozenset({'돼지불고기'}),frozenset({'떡볶이'}),0.012249459008833233,0.11380325658944979,0.0008655858668274859,0.07066319142774398,0.6209241593381156,-0.0005284424598367099,0.9535797304445716,-0.3819811838306712
frozenset({'떡볶이'}),frozenset({'돼지불고기'}),0.11380325658944979,0.012249459008833233,0.0008655858668274859,0.007605985037406483,0.6209241593381157,-0.0005284424598367099,0.9953209371465206,-0.4078993075118375
frozenset({'돼지불고기'}),frozenset({'김치볶음밥'}),0.012249459008833233,0.05407073681223172,0.00039022313668452235,0.03185635679119606,0.5891607673448536,-0.00027211413747432023,0.9770546652071085,-0.4138257721470884
frozenset({'김치볶음밥'}),frozenset({'돼지불고기'}),0.05407073681223172,0.012249459008833233,0.00039022313668452235,0.007216900669203517,0.5891607673448536,-0.00027211413747432023,0.9949308581672855,-0.4243577237087109
frozenset({'돼지불고기'}),frozenset({'꽃게탕'}),0.012249459008833233,0.01510873035581255,3.9022313668452235e-05,0.003185635679119606,0.21084734481968204,-0.00014605145950058796,0.9880388013019695,-0.7911961295699093
frozenset({'꽃게탕'}),frozenset({'돼지불고기'}),0.01510873035581255,0.012249459008833233,3.9022313668452235e-05,0.0025827659074900214,0.21084734481968204,-0.00014605145950058796,0.9903082754428859,-0.7916746421666584
frozenset({'돼지불고기'}),frozenset({'떡국'}),0.012249459008833233,0.03984178225548973,0.000184469119159956,0.015059368664929046,0.3779792924011084,-0.00030357115941752474,0.9748386727056142,-0.6249140859686154
frozenset({'떡국'}),frozenset({'돼지불고기'}),0.03984178225548973,0.012249459008833233,0.000184469119159956,0.004630041848455169,0.37797929240110845,-0.00030357115941752474,0.992345140519885,-0.6315311682854962
frozenset({'돼지불고기'}),frozenset({'참치김치찌개'}),0.012249459008833233,0.03980985490794282,0.00019865905140302955,0.01621778163915436,0.40738107879711477,-0.0002889901344394145,0.9760190082434128,-0.5955910383072522
frozenset({'참치김치찌개'}),frozenset({'돼지불고기'}),0.03980985490794282,0.012249459008833233,0.00019865905140302955,0.004990197825699518,0.4073810787971147,-0.0002889901344394145,0.9927043319902269,-0.6023883234953085
frozenset({'잡채'}),frozenset({'돼지불고기'}),0.0576075774238178,0.012249459008833233,0.0003121785093476179,0.005419052897345896,0.44239120221049366,-0.000393483148903625,0.9931323778809706,-0.5721911378208515
frozenset({'돼지불고기'}),frozenset({'잡채'}),0.012249459008833233,0.0576075774238178,0.0003121785093476179,0.02548508543295685,0.44239120221049366,-0.000393483148903625,0.9670374547267628,-0.560646973395071
frozenset({'돼지불고기'}),frozenset({'닭곰탕'}),0.012249459008833233,0.029437014438256057,0.00019156408528149278,0.0156385751520417,0.5312554771763117,-0.00016902341642235685,0.9859823445556639,-0.47181490179414903
frozenset({'닭곰탕'}),frozenset({'돼지불고기'}),0.029437014438256057,0.012249459008833233,0.00019156408528149278,0.006507592190889371,0.5312554771763118,-0.00016902341642235685,0.9942205227007159,-0.476191479055662
frozenset({'돼지불고기'}),frozenset({'짬뽕'}),0.012249459008833233,0.023729114193479728,0.00013480435630919862,0.011004923255140457,0.46377303279885534,-0.00015586445531975417,0.9871342221639574,-0.5392906605936636
frozenset({'짬뽕'}),frozenset({'돼지불고기'}),0.023729114193479728,0.012249459008833233,0.00013480435630919862,0.005680968754671849,0.46377303279885534,-0.00015586445531975417,0.9933939811592113,-0.5421937680074824
frozenset({'돼지불고기'}),frozenset({'닭개장'}),0.012249459008833233,0.027166625279364292,0.00021994394976763987,0.017955401100492326,0.6609360167429853,-0.00011283251300026574,0.9906203606341359,-0.3418314881229883
frozenset({'닭개장'}),frozenset({'돼지불고기'}),0.027166625279364292,0.012249459008833233,0.00021994394976763987,0.008096108644554715,0.6609360167429853,-0.00011283251300026574,0.995812749198309,-0.3452633247379746
frozenset({'돼지불고기'}),frozenset({'탕수육'}),0.012249459008833233,0.0759303274326865,0.0005569548405406365,0.04546770923834347,0.5988082861706523,-0.0003731505928733425,0.9680863408297735,-0.4041562311292587
frozenset({'탕수육'}),frozenset({'돼지불고기'}),0.0759303274326865,0.012249459008833233,0.0005569548405406365,0.0073350775555970854,0.5988082861706523,-0.0003731505928733425,0.9950493048136175,-0.4203018773825054
frozenset({'닭강정'}),frozenset({'돼지불고기'}),0.018102806059101067,0.012249459008833233,0.00015608925467380894,0.008622378992749364,0.7038987588375667,-6.566032609200747e-05,0.9963413739232899,-0.299923023095888
frozenset({'돼지불고기'}),frozenset({'닭강정'}),0.012249459008833233,0.018102806059101067,0.00015608925467380894,0.012742542716478424,0.7038987588375668,-6.566032609200747e-05,0.9945705516802359,-0.29867654351688017
frozenset({'돼지불고기'}),frozenset({'닭볶음탕'}),0.012249459008833233,0.02433218631381035,0.00011351945794458832,0.00926730379380249,0.3808660542987293,-0.00018453666090172463,0.984794200718624,-0.6220359943701504
frozenset({'닭볶음탕'}),frozenset({'돼지불고기'}),0.02433218631381035,0.012249459008833233,0.00011351945794458832,0.004665403119988336,0.3808660542987292,-0.00018453666090172463,0.992380395584944,-0.624925318476027
frozenset({'함박스테이크'}),frozenset({'돼지불고기'}),0.04267622122104367,0.012249459008833233,0.0002625137464968605,0.006151288445552785,0.5021681725794598,-0.0002602468760022129,0.993864085657723,-0.5087343297079389
frozenset({'돼지불고기'}),frozenset({'함박스테이크'}),0.012249459008833233,0.04267622122104367,0.0002625137464968605,0.02143064002316826,0.5021681725794598,-0.0002602468760022129,0.9782891412026447,-0.5009130883129056
